BRIDGEPORT,53,60608,9/18/2021,50,8828,2,152,79205,3424
MCKINLEY PARK,53,60608,9/18/2021,50,8828,2,152,79205,3424
LOWER WEST SIDE,53,60608,9/18/2021,50,8828,2,152,79205,3424
NORTH LAWNDALE,54,60608,1/30/2021,122,7168,2,128,79205,2154
NEAR WEST SIDE,54,60608,1/30/2021,122,7168,2,128,79205,2154
SOUTH LAWNDALE,54,60608,1/30/2021,122,7168,2,128,79205,2154
BRIDGEPORT,54,60608,1/30/2021,122,7168,2,128,79205,2154
MCKINLEY PARK,54,60608,1/30/2021,122,7168,2,128,79205,2154
LOWER WEST SIDE,54,60608,1/30/2021,122,7168,2,128,79205,2154
NORTH LAWNDALE,55,60608,2/6/2021,74,7242,1,129,79205,2228
NEAR WEST SIDE,55,60608,2/6/2021,74,7242,1,129,79205,2228
SOUTH LAWNDALE,55,60608,2/6/2021,74,7242,1,129,79205,2228
BRIDGEPORT,55,60608,2/6/2021,74,7242,1,129,79205,2228
MCKINLEY PARK,55,60608,2/6/2021,74,7242,1,129,79205,2228
LOWER WEST SIDE,55,60608,2/6/2021,74,7242,1,129,79205,2228
BRIDGEPORT,56,60609,4/4/2020,52,113,3,3,61495,151
MCKINLEY PARK,56,60609,4/4/2020,52,113,3,3,61495,151
BRIGHTON PARK,56,60609,4/4/2020,52,113,3,3,61495,151
ARMOUR SQUARE,56,60609,4/4/2020,52,113,3,3,61495,151
NEW CITY,56,60609,4/4/2020,52,113,3,3,61495,151
GAGE PARK,56,60609,4/4/2020,52,113,3,3,61495,151
WASHINGTON PARK,56,60609,4/4/2020,52,113,3,3,61495,151
FULLER PARK,56,60609,4/4/2020,52,113,3,3,61495,151
DOUGLAS,56,60609,4/4/2020,52,113,3,3,61495,151
GRAND BOULEVARD,56,60609,4/4/2020,52,113,3,3,61495,151
BRIDGEPORT,57,60609,8/8/2020,53,2161,0,77,61495,996
MCKINLEY PARK,57,60609,8/8/2020,53,2161,0,77,61495,996
BRIGHTON PARK,57,60609,8/8/2020,53,2161,0,77,61495,996
ARMOUR SQUARE,57,60609,8/8/2020,53,2161,0,77,61495,996
NEW CITY,57,60609,8/8/2020,53,2161,0,77,61495,996
GAGE PARK,57,60609,8/8/2020,53,2161,0,77,61495,996
WASHINGTON PARK,57,60609,8/8/2020,53,2161,0,77,61495,996
FULLER PARK,57,60609,8/8/2020,53,2161,0,77,61495,996
DOUGLAS,57,60609,8/8/2020,53,2161,0,77,61495,996
GRAND BOULEVARD,57,60609,8/8/2020,53,2161,0,77,61495,996
BRIDGEPORT,58,60609,9/26/2020,56,2575,1,82,61495,1115
MCKINLEY PARK,58,60609,9/26/2020,56,2575,1,82,61495,1115
BRIGHTON PARK,58,60609,9/26/2020,56,2575,1,82,61495,1115
ARMOUR SQUARE,58,60609,9/26/2020,56,2575,1,82,61495,1115
NEW CITY,58,60609,9/26/2020,56,2575,1,82,61495,1115
GAGE PARK,58,60609,9/26/2020,56,2575,1,82,61495,1115
WASHINGTON PARK,58,60609,9/26/2020,56,2575,1,82,61495,1115
FULLER PARK,58,60609,9/26/2020,56,2575,1,82,61495,1115
DOUGLAS,58,60609,9/26/2020,56,2575,1,82,61495,1115
GRAND BOULEVARD,58,60609,9/26/2020,56,2575,1,82,61495,1115
BRIDGEPORT,59,60609,3/13/2021,21,6686,4,137,61495,1192
MCKINLEY PARK,59,60609,3/13/2021,21,6686,4,137,61495,1192
BRIGHTON PARK,59,60609,3/13/2021,21,6686,4,137,61495,1192
ARMOUR SQUARE,59,60609,3/13/2021,21,6686,4,137,61495,1192
NEW CITY,59,60609,3/13/2021,21,6686,4,137,61495,1192
GAGE PARK,59,60609,3/13/2021,21,6686,4,137,61495,1192
WASHINGTON PARK,59,60609,3/13/2021,21,6686,4,137,61495,1192
FULLER PARK,59,60609,3/13/2021,21,6686,4,137,61495,1192
DOUGLAS,59,60609,3/13/2021,21,6686,4,137,61495,1192
GRAND BOULEVARD,59,60609,3/13/2021,21,6686,4,137,61495,1192
BRIDGEPORT,60,60609,3/27/2021,55,6783,1,139,61495,1269
MCKINLEY PARK,60,60609,3/27/2021,55,6783,1,139,61495,1269
BRIGHTON PARK,60,60609,3/27/2021,55,6783,1,139,61495,1269
ARMOUR SQUARE,60,60609,3/27/2021,55,6783,1,139,61495,1269
NEW CITY,60,60609,3/27/2021,55,6783,1,139,61495,1269
GAGE PARK,60,60609,3/27/2021,55,6783,1,139,61495,1269
WASHINGTON PARK,60,60609,3/27/2021,55,6783,1,139,61495,1269
FULLER PARK,60,60609,3/27/2021,55,6783,1,139,61495,1269
DOUGLAS,60,60609,3/27/2021,55,6783,1,139,61495,1269
GRAND BOULEVARD,60,60609,3/27/2021,55,6783,1,139,61495,1269
BRIDGEPORT,61,60609,4/24/2021,105,7164,1,143,61495,1744
MCKINLEY PARK,61,60609,4/24/2021,105,7164,1,143,61495,1744
BRIGHTON PARK,61,60609,4/24/2021,105,7164,1,143,61495,1744
ARMOUR SQUARE,61,60609,4/24/2021,105,7164,1,143,61495,1744
NEW CITY,61,60609,4/24/2021,105,7164,1,143,61495,1744
GAGE PARK,61,60609,4/24/2021,105,7164,1,143,61495,1744
WASHINGTON PARK,61,60609,4/24/2021,105,7164,1,143,61495,1744
FULLER PARK,61,60609,4/24/2021,105,7164,1,143,61495,1744
DOUGLAS,61,60609,4/24/2021,105,7164,1,143,61495,1744
GRAND BOULEVARD,61,60609,4/24/2021,105,7164,1,143,61495,1744
WEST TOWN,62,60610,9/12/2020,35,595,0,10,39019,809
WEST TOWN,63,60610,3/13/2021,55,3023,1,31,39019,1623
WEST TOWN,64,60610,9/18/2021,34,4141,0,33,39019,2276
WEST TOWN,65,60610,11/20/2021,74,4529,0,34,39019,2479
LOOP,66,60604,8/21/2021,3,117,0,0,782,257
LOOP,67,60603,3/27/2021,4,72,0,0,1174,72
LOOP,68,60603,4/3/2021,0,72,0,0,1174,80
LOOP,69,60603,7/17/2021,0,81,0,0,1174,56
LOOP,70,60604,8/28/2021,1,118,0,0,782,304
LOOP,71,60604,9/4/2021,1,119,0,0,782,264
LOOP,72,60604,9/11/2021,1,120,0,0,782,253
NEAR WEST SIDE,73,60606,9/12/2020,1,66,0,1,3101,128
LOOP,73,60606,9/12/2020,1,66,0,1,3101,128
LOOP,74,60603,4/10/2021,2,74,0,0,1174,81
