PERMIT#,PERMIT_TYPE,APPLICATION_START_DATE,ISSUE_DATE,LATITUDE,LONGITUDE,zipcode,community_area
100943374,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.88124146,-87.67428253,60612,NORTH LAWNDALE
100941210,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.83078366,-87.63529578,60632,ARCHER HEIGHTS
100943750,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.78792148,-87.59580626,60637,WOODLAWN
100945882,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.78811943,-87.59652778,60637,WOODLAWN
100943882,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.79042796,-87.78037224,60638,MIDWAY
100946252,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.88422161,-87.61933906,60601,LOOP
100946624,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.78962413,-87.59302611,60637,WOODLAWN
100934617,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.89920147,-87.69389464,60651,HUMBOLDT PARK
100945885,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.90919206,-87.67728291,60622,WEST TOWN
100943358,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.70709514,-87.68919165,60655,BEVERLY
100944496,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.78591394,-87.59622981,60637,WOODLAWN
100931400,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.91125713,-87.67000561,60622,WEST TOWN
100946607,PERMIT - NEW CONSTRUCTION,11/4/2021,11/4/2021,41.89756507,-87.63705957,60610,WEST TOWN
100915803,PERMIT - NEW CONSTRUCTION,11/3/2021,11/3/2021,41.90200635,-87.67614959,60622,WEST TOWN
100938238,PERMIT - NEW CONSTRUCTION,11/3/2021,11/26/2021,41.93694475,-87.66222135,60657,LAKEVIEW
100938365,PERMIT - NEW CONSTRUCTION,11/3/2021,11/3/2021,41.95135903,-87.67528299,60613,
100944390,PERMIT - NEW CONSTRUCTION,11/2/2021,11/2/2021,41.86262829,-87.61503109,IL,
100943924,PERMIT - NEW CONSTRUCTION,11/2/2021,11/2/2021,41.86262829,-87.61503109,IL,
100943298,PERMIT - NEW CONSTRUCTION,11/2/2021,11/2/2021,41.94142629,-87.6907993,60618,AVONDALE
100946903,PERMIT - NEW CONSTRUCTION,11/2/2021,11/2/2021,41.95995019,-87.79409123,60634,BELMONT CRAGIN
100944402,PERMIT - NEW CONSTRUCTION,11/2/2021,11/2/2021,41.86262829,-87.61503109,IL,
100940647,PERMIT - NEW CONSTRUCTION,11/2/2021,11/2/2021,41.87935192,-87.69743253,60612,NORTH LAWNDALE
100917470,PERMIT - NEW CONSTRUCTION,11/2/2021,11/24/2021,41.88476169,-87.65898834,60607,LOOP
100946862,PERMIT - NEW CONSTRUCTION,11/2/2021,11/2/2021,41.88994129,-87.62887636,60654,LOOP
100944527,PERMIT - NEW CONSTRUCTION,11/1/2021,11/1/2021,41.91999335,-87.69282669,60647,LOGAN SQUARE
100915384,PERMIT - NEW CONSTRUCTION,11/1/2021,11/1/2021,41.99074444,-87.69955802,60659,NORTH PARK
100944559,PERMIT - NEW CONSTRUCTION,10/29/2021,10/29/2021,41.88422161,-87.61933906,60601,LOOP
100940914,PERMIT - NEW CONSTRUCTION,10/29/2021,10/29/2021,41.93012558,-87.65969257,60614,LOGAN SQUARE
100943215,PERMIT - NEW CONSTRUCTION,10/29/2021,10/29/2021,41.94544657,-87.65493058,60657,LAKEVIEW
100944551,PERMIT - NEW CONSTRUCTION,10/29/2021,10/29/2021,41.8833222,-87.6297751,60602,LOOP
100944445,PERMIT - NEW CONSTRUCTION,10/29/2021,10/29/2021,41.9218635,-87.65259156,60614,LOGAN SQUARE
100944206,PERMIT - NEW CONSTRUCTION,10/29/2021,10/29/2021,41.88343797,-87.64872378,60607,LOOP
100944208,PERMIT - NEW CONSTRUCTION,10/29/2021,10/29/2021,41.90335951,-87.67339734,60651,HUMBOLDT PARK
100946177,PERMIT - NEW CONSTRUCTION,10/29/2021,10/29/2021,41.88422161,-87.61933906,60601,LOOP
100944540,PERMIT - NEW CONSTRUCTION,10/29/2021,10/29/2021,41.86262829,-87.61503109,IL,
100944549,PERMIT - NEW CONSTRUCTION,10/28/2021,10/28/2021,41.94898045,-87.64841717,60657,LAKEVIEW
100922943,PERMIT - NEW CONSTRUCTION,10/27/2021,11/8/2021,41.93987063,-87.64930456,60657,LAKEVIEW
100942523,PERMIT - NEW CONSTRUCTION,10/27/2021,11/9/2021,41.92567123,-87.69362956,60647,LOGAN SQUARE
100941413,PERMIT - NEW CONSTRUCTION,10/27/2021,10/27/2021,41.95201278,-87.68734106,60618,AVONDALE
100944323,PERMIT - NEW CONSTRUCTION,10/27/2021,10/27/2021,41.8833222,-87.6297751,60602,LOOP
100944266,PERMIT - NEW CONSTRUCTION,10/27/2021,10/27/2021,41.8833222,-87.6297751,60602,LOOP
100937156,PERMIT - NEW CONSTRUCTION,10/26/2021,10/26/2021,41.95696132,-87.69114559,60618,AVONDALE
100931756,PERMIT - NEW CONSTRUCTION,10/26/2021,10/27/2021,41.69267887,-87.60819321,60628,WASHINGTON HEIGHTS
100932723,PERMIT - NEW CONSTRUCTION,10/26/2021,10/26/2021,41.90565115,-87.65979889,60642,WEST TOWN
100921162,PERMIT - NEW CONSTRUCTION,10/26/2021,10/26/2021,41.91136885,-87.69320605,60647,LOGAN SQUARE
100939004,PERMIT - NEW CONSTRUCTION,10/25/2021,10/25/2021,41.91292472,-87.66882949,60622,WEST TOWN
100945197,PERMIT - NEW CONSTRUCTION,10/25/2021,10/26/2021,41.97540978,-87.70882184,60625,ALBANY PARK
100936950,PERMIT - NEW CONSTRUCTION,10/25/2021,10/25/2021,41.89340067,-87.67044711,60612,NORTH LAWNDALE
100939330,PERMIT - NEW CONSTRUCTION,10/25/2021,11/9/2021,41.96576829,-87.6575472,60640,EDGEWATER
100944535,PERMIT - NEW CONSTRUCTION,10/22/2021,10/22/2021,41.90679511,-87.66773167,60622,WEST TOWN
